id,type,area,lat,lon
MRQM_LNODEWR1,LOAD,PGE,45.504665,-122.67657
MRQM_LNODEWR2,LOAD,PGE,45.50466499992874,-122.67644225182988
MRQM_LNODEWR3,LOAD,PGE,45.50457546754302,-122.67657
MRQM_LNODEWR4,LOAD,PGE,45.50466499992874,-122.67669774817011
MRQM_LNODEWR5,LOAD,PGE,45.50475453245696,-122.67657
MRTIN_BP_LNODEERV,LOAD,BPAT,43.741862,-123.113617
MRTNDALE_LNODEOAD,LOAD,NWMT,46.502043,-110.272871
MRTSVAL_LNODE32,LOAD,NV,39.329538,-120.170031
MRW_LNODEW_1,LOAD,EPE,31.77212643766779,-106.4074298631405
MRW_LNODEW_2,LOAD,EPE,31.771945784466315,-106.40742986334797
MRW_LNODEW_3,LOAD,EPE,31.771945784466315,-106.40764235887424
MRW_LNODEW_4,LOAD,EPE,31.77212643766779,-106.40764235908173
MRYSVLLE_6_N001,LOAD,CA,39.13944599998575,-121.58327227419691
MRYSVLLE_6_N003,LOAD,CA,39.13944599998575,-121.58338772580308
MR_LNODE10A,LOAD,APS,33.595169,-112.280823
MR_LNODE13A,LOAD,APS,33.595168999953245,-112.2807151612572
MR_LNODE14A,LOAD,APS,33.595079173742334,-112.28071516136951
MR_LNODE17A,LOAD,APS,33.59501565706227,-112.28079141481966
MR_LNODE18A,LOAD,APS,33.595000467253776,-112.28089770032712
MR_LNODE19A,LOAD,APS,33.5950315786999,-112.28099886418983
MR_LNODE21A,LOAD,APS,33.59509709065077,-112.28107264455792
MR_LNODE22A,LOAD,APS,33.59518198420511,-112.28110788838391
MR_LNODER9A,LOAD,APS,33.59527167626225,-112.28110199685953
MSA_LNODE_12,LOAD,EPE,31.80650598453921,-106.51224964650478
MSA_LNODE_13,LOAD,EPE,31.80642777773391,-106.51219651532175
MSA_LNODE_14,LOAD,EPE,31.806349570993923,-106.51224964659474
MSA_LNODE_16,LOAD,EPE,31.806349570993923,-106.51235590896081
MSA_LNODE_17,LOAD,EPE,31.80642777773391,-106.51240904023382
MSA_LNODE_18,LOAD,EPE,31.80650598453921,-106.51235590905077
MSHR60V_6_N001,LOAD,CA,38.02150699998609,-121.28089465794243
MSHR60V_6_N006,LOAD,CA,38.02150699998609,-121.28100934205757
MSIDIST_LNODEXF2,LOAD,PSE,47.524127,-121.859227
MSLA_2_LNODEK1L,LOAD,NWMT,46.85407422344885,-114.021741
MSLA_2_LNODEK2L,LOAD,NWMT,46.853992888255085,-114.02167233259136
MSLA_2_LNODEK3L,LOAD,NWMT,46.853992888255085,-114.02180966740863
MSLA_3_LNODEK1L,LOAD,NWMT,46.892707233556855,-114.028209
MSLA_3_LNODEK2L,LOAD,NWMT,46.89262588320102,-114.02814027033209
MSLA_3_LNODEK3L,LOAD,NWMT,46.89262588320102,-114.0282777296679
MSLA_5_LNODEBK1H,LOAD,NWMT,46.805144999981,-114.04604000276757
MSLA_5_LNODEK2L,LOAD,NWMT,46.805144999981,-114.04617199723243
MSLA_7_LNODEK1L,LOAD,NWMT,46.857226999980966,-114.06832491968741
MSLA_7_LNODEK2L,LOAD,NWMT,46.857226999980966,-114.06845708031258
MSOLAR_7_NBT1,GEN,CA,33.32646699998847,-112.91894636438523
MSOLAR_7_NSR4,GEN,CA,33.32646699998847,-112.91905363561476
MSP_3_MSP_SOUTH_SLRGNODE,GEN,EPE,32.53766666666667,-107.49166666666667
MSSHL100_1_MSG1GNODE,GEN,NWMT,46.27122499998153,-109.48809395618962
MSSHL100_1_MSG2GNODE,GEN,NWMT,46.27122499998153,-109.48822404381039
MSSHL_50_LNODEOAD,LOAD,NWMT,46.515925,-108.089026
MST_LNODEXF2,LOAD,PSE,47.2975,-122.212778
MS_LNODER1A,LOAD,APS,34.71005799998773,-112.16033400538916
MS_LNODER2A,LOAD,APS,34.71005799998773,-112.16044399461084
MTAN_LNODEBR1,LOAD,PGE,45.06655,-122.797653
MTEDEN_1_N001,LOAD,CA,37.63264525976642,-122.10124
MTEDEN_1_N005,LOAD,CA,37.632563870101905,-122.10118066447778
MTEDEN_1_N009,LOAD,CA,37.632563870101905,-122.10129933552223
MTF_GNODECTG,GEN,PSE,46.13855199998172,-122.98498519651935
MTF_GNODESTG,GEN,PSE,46.13855199998172,-122.98511480348064
MTH_LNODEXF1,LOAD,PSE,47.340833,-122.223056
MTN VIEW_GNODEIT,GEN,NV,36.34792599998713,-114.91659060569029
MTNEDGE_LNODE-2,LOAD,NV,36.00752299998726,-115.24420665380671
MTNEDGE_LNODE-3,LOAD,NV,36.00752299998726,-115.24431734619328
MTNHOUSE_LNODE1KV,LOAD,BANC,37.79428,-121.55964
MTNPASS_1_N001,LOAD,CA,35.508179,-115.53125
MTNQUAR_6_N001,LOAD,CA,38.914515,-121.015694
MTPL_LNODEWR1,LOAD,PGE,45.341964999982245,-122.60164328296115
MTPL_LNODEWR2,LOAD,PGE,45.341964999982245,-122.60177071703885
MTPOSO_7_N001,GEN,CA,35.553885,-119.09665
MTROSE_LNODE01,LOAD,NV,39.47832499998559,-119.85730697879825
MTROSE_LNODE02,LOAD,NV,39.47832499998559,-119.85742302120174
MTST_MIN_LNODEOAD,LOAD,NWMT,46.518594,-107.923346
MTSUN_SL_2_MSNSGNODE,GEN,NWMT,47.56995426797013,-111.12178220802197
MTVER_BP_LNODE115,LOAD,BPAT,44.031466,-122.932695
MTVIEW_1_N001,LOAD,CA,34.07927114678052,-117.240376
MTVIEW_1_N004,LOAD,CA,34.079189926596804,-117.24031938460595
MTVIEW_1_N005,LOAD,CA,34.079189926596804,-117.24043261539406
MTVIE_BP_LNODEIEW,LOAD,BPAT,47.22742599998077,-123.12250842027176
MTVIE_BP_LNODERIE,LOAD,BPAT,47.22742599998077,-123.12264157972824
MTV_LNODEXF1,LOAD,PSE,48.433333,-122.319444
MTWND3_7_N001,GEN,CA,33.904473,-116.555752
MTZUMA2_7_B1,GEN,CA,38.151417,-121.810803
MT_ELS_R_LNODEOAD,LOAD,NWMT,45.663212,-110.957805
MT_LNODEMR2,LOAD,APS,32.737056,-114.512986
MT_PHOSP_LNODEOAD,LOAD,NWMT,46.572919,-112.860553
MT_REFIN_LNODELD1,LOAD,NWMT,47.521711999980646,-111.29438114138188
MT_REFIN_LNODELD2,LOAD,NWMT,47.521711999980646,-111.29451485861813
MT_TALC_LNODEOAD,LOAD,NWMT,45.796211,-111.770082
MT_TUNNL_LNODEOAD,LOAD,NWMT,46.375467,-112.114979
MUDCR_BP_LNODE69,LOAD,BPAT,44.823744,-120.486648
MUIR_NW_LNODEOAD,LOAD,NWMT,45.665272,-110.795893
MULLER_LNODE95,LOAD,NV,38.976633999985864,-119.79468236834688
MULLER_LNODE96,LOAD,NV,38.976633999985864,-119.79479763165311
MULT_LNODEWR1,LOAD,PGE,45.465861999982216,-122.71152216651141
MULT_LNODEWR2,LOAD,PGE,45.465861999982216,-122.7116498334886
MURRAY_6_N001,LOAD,CA,32.79087756459772,-117.0229334582287
MURRAY_6_N004,LOAD,CA,32.790698435312095,-117.02293345844329
MURRAY_6_N005,LOAD,CA,32.790698435312095,-117.02314654155671
