PNODE_ID,AS_ID_1,AS_ID_2,AS_ID_extra_count,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Derived_Zone
PGCC_1_PDRP38-APND,AS_NP15,AS_NP26,0,GEN,PGCC_1_PDRP38,,24M3_DB127,2024-03-20T00:00:00,3075,NP15
PGCC_1_PDRP41-APND,AS_NP15,AS_NP26,0,GEN,PGCC_1_PDRP41,,24M3_DB127,2024-03-20T00:00:00,3076,NP15
PGCC_1_PDRP45-APND,AS_NP15,AS_NP26,0,GEN,PGCC_1_PDRP45,,24M3_DB127,2024-03-20T00:00:00,3077,NP15
PGCC_1_RDRR01-APND,AS_NP15,AS_NP26,0,GEN,PGCC_1_RDRR01,,24M3_DB127,2024-03-20T00:00:00,3078,NP15
PGEB_2_PDRP04-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP04,,24M3_DB127,2024-03-20T00:00:00,3079,NP15
PGEB_2_PDRP05-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP05,,24M3_DB127,2024-03-20T00:00:00,3080,NP15
PGEB_2_PDRP08-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP08,,24M3_DB127,2024-03-20T00:00:00,3081,NP15
PGEB_2_PDRP09-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP09,,24M3_DB127,2024-03-20T00:00:00,3082,NP15
PGEB_2_PDRP10-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP10,,24M3_DB127,2024-03-20T00:00:00,3083,NP15
PGEB_2_PDRP100-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP100,,24M3_DB127,2024-03-20T00:00:00,3084,NP15
PGEB_2_PDRP101-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP101,,24M3_DB127,2024-03-20T00:00:00,3085,NP15
PGEB_2_PDRP102-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP102,,24M3_DB127,2024-03-20T00:00:00,3086,NP15
PGEB_2_PDRP103-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP103,,24M3_DB127,2024-03-20T00:00:00,3087,NP15
PGEB_2_PDRP104-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP104,,24M3_DB127,2024-03-20T00:00:00,3088,NP15
PGEB_2_PDRP105-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP105,,24M3_DB127,2024-03-20T00:00:00,3089,NP15
PGEB_2_PDRP107-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP107,,24M3_DB127,2024-03-20T00:00:00,3090,NP15
PGEB_2_PDRP108-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP108,,24M3_DB127,2024-03-20T00:00:00,3091,NP15
PGEB_2_PDRP111-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP111,,24M3_DB127,2024-03-20T00:00:00,3092,NP15
PGEB_2_PDRP112-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP112,,24M3_DB127,2024-03-20T00:00:00,3093,NP15
PGEB_2_PDRP113-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP113,,24M3_DB127,2024-03-20T00:00:00,3094,NP15
PGEB_2_PDRP21-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP21,,24M3_DB127,2024-03-20T00:00:00,3095,NP15
PGEB_2_PDRP22-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP22,,24M3_DB127,2024-03-20T00:00:00,3096,NP15
PGEB_2_PDRP23-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP23,,24M3_DB127,2024-03-20T00:00:00,3097,NP15
PGEB_2_PDRP24-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP24,,24M3_DB127,2024-03-20T00:00:00,3098,NP15
PGEB_2_PDRP25-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP25,,24M3_DB127,2024-03-20T00:00:00,3099,NP15
PGEB_2_PDRP26-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP26,,24M3_DB127,2024-03-20T00:00:00,3100,NP15
PGEB_2_PDRP27-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP27,,24M3_DB127,2024-03-20T00:00:00,3101,NP15
PGEB_2_PDRP28-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP28,,24M3_DB127,2024-03-20T00:00:00,3102,NP15
PGEB_2_PDRP29-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP29,,24M3_DB127,2024-03-20T00:00:00,3103,NP15
