AS_REGION_ID,PNODE_ID,DESCRIPTION,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
AS_NP26,SANTOMAS_6_N001,AS_NP26,,2024-08-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2024-08-28T00:00:00,2030-12-31T23:59:59
AS_NP26,SANTOMAS_6_N002,AS_NP26,,2024-08-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2024-08-28T00:00:00,2030-12-31T23:59:59
AS_NP26,SANTOMAS_6_N003,AS_NP26,,2024-08-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2024-08-28T00:00:00,2030-12-31T23:59:59
AS_NP26,SARATOGA_2_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SARATOGA_2_N006,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SARATOGA_2_N011,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SAUSALTO_6_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SAUSALTO_6_N002,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SAXONCRK_6_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SC21ATP_6_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,SCARLT_7_CN1,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCARLT_7_CN2,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCARLT_7_N001,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCARLT_7_N002,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCARLT_7_N005,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCARLT_7_N010,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHINDLR_1_N005,AS_NP26,,2015-04-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,2015-04-23T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHINDLR_1_N021,AS_NP26,,2023-05-05T07:00:00-00:00,2031-01-01T07:59:59-00:00,2023-05-05T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHINDLR_1_N030,AS_NP26,,2018-05-24T07:00:00-00:00,2031-01-01T07:59:59-00:00,2018-05-24T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHLNDLR_7_N001,AS_NP26,,2011-08-12T07:00:00-00:00,2031-01-01T07:59:59-00:00,2011-08-12T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHLNDLR_7_N002,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHLNDLR_7_N003,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SCHLTE_1_PL1X3-APND,AS_NP26,,2012-06-16T07:00:00-00:00,2031-01-01T07:59:59-00:00,2012-06-16T00:00:00,2030-12-31T23:59:59
