X,Y,OBJECTID,Substation_ID,Substation_Name,Alias,Status,Owner,Map_Owner,Map_Part,Engineering_ID,kV_12_TO_32,kV_33_TO_92,kV_110_TO_161,kV_220_To_287,kV_345_To_500,kV_500_DC,Highest_kV,Postal_City,County,Zip_Code,State,Comments
-122.242903001182,37.7724307588544,"1",SS0003,Jenney, ,Operational,Other,Other,M, ,YES,,YES,,,,110kV to 161kV,Alameda,Alameda,"94501",CA, 
-122.657355225311,38.2650077380647,"2",SS0004,Corona, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Petaluma,Sonoma,"94954",CA, 
-121.625938248142,37.7784766074979,"3",SS0005,South Bay 1, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Byron,Alameda,"94514",CA, 
-121.677195240697,37.7483715062963,"4",SS0007,Altamont, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Livermore,Alameda,"94551",CA, 
-122.061264238131,37.6912760210555,"5",SS0008,Castro Valley, ,Operational,PG&E,PG&E,M, ,,,,YES,,,220kV to 287kV,Castro Valley,Alameda,"94546",CA, 
-122.228571881395,37.8473684915069,"6",SS0009,Claremont K,STA. K,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Oakland,Alameda,"94618",CA, 
-122.017422156327,37.5957769759413,"7",SS0010,Cryogenics, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Union City,Alameda,"94587",CA, 
-123.509173123733,40.0940256975114,"8",SS0011,Kekawaka, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Zenia,Trinity,"95595",CA, 
-122.057926880894,37.556987066322,"9",SS0012,Dumbarton, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Fremont,Alameda,"94555",CA, 
-122.116598061882,37.6250736343111,"10",SS0013,Eastshore, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Hayward,Alameda,"94545",CA, 
-122.193785888181,37.7386845855824,"11",SS0014,Edes, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Oakland,Alameda,"94603",CA, 
-121.961944301578,37.5413581559746,"12",SS0015,Fremont, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Fremont,Alameda,"94538",CA, 
-121.939415433221,37.4936863631342,"13",SS0016,Nummi,GENERAL MOTORS,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Fremont,Alameda,"94538",CA, 
-122.159525510206,37.6712630851151,"14",SS0017,Grant, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Lorenzo,Alameda,"94580",CA, 
-122.245750820611,37.8761690361506,"15",SS0018,Grizzly,U.C. BERKELEY,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Berkeley,Alameda,"94720",CA, 
-121.831863696165,37.6679411056819,"16",SS0019,Iuka, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Pleasanton,Alameda,"94566",CA, 
-122.017478315242,37.5953055996597,"17",SS0020,Jarvis, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Union City,Alameda,"94587",CA, 
-121.906991338957,37.7085287823815,"18",SS0021,Kaiser, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Dublin,Alameda,"94568",CA, 
-121.733231365828,37.700819244794,"19",SS0022,Las Positas, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Livermore,Alameda,"94551",CA, 
-121.780491722406,37.6800228251616,"20",SS0023,Livermore, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Livermore,Alameda,"94551",CA, 
-122.101834959529,37.6320551548941,"21",SS0024,Mt. Eden, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Hayward,Alameda,"94545",CA, 
-121.986249303239,37.5008681627341,"22",SS0025,Newark, ,Operational,PG&E,PG&E,M, ,,YES,YES,YES,,,220kV to 287kV,Fremont,Alameda,"94538",CA, 
-121.893837262979,37.7116386473545,"23",SS0026,Parks, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Dublin,Alameda,"94568",CA, 
-121.859514900469,37.6725500379318,"24",SS0027,Radum, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Pleasanton,Alameda,"94566",CA, 
-121.619930703546,37.7990519856352,"25",SS0028,Ralph, ,Operational,PG&E,PG&E,M, ,,,,YES,,,220kV to 287kV,Byron,Alameda,"94514",CA, 
-122.137933010216,37.4929631829368,"26",SS0029,Ravenswood, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Menlo Park,San Mateo,"94025",CA, 
-122.148175163929,37.710619815907,"27",SS0030,San Leandro U, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Leandro,Alameda,"94578",CA, 
-122.214481637946,37.7629933062945,"28",SS0033,Oakland J, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Oakland,Alameda,"94621",CA, 
-121.869670890525,37.5868976899329,"29",SS0036,Sunol, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Sunol,Alameda,"94586",CA, 
-121.564844789589,37.7123913918841,"30",SS0037,Tesla, ,Operational,PG&E,PG&E,M, ,,,YES,YES,YES,,345kV to 500kV,Livermore,Alameda,"94550",CA, 
-121.842657908067,37.6092390149389,"31",SS0039,Vallecitos, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Sunol,Alameda,"94586",CA, 
-121.715861839476,37.7111142515023,"32",SS0040,Vasco, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Livermore,Alameda,"94551",CA, 
-121.85442447517,37.6696843183574,"33",SS0041,Vineyard, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Pleasanton,Alameda,"94566",CA, 
-120.822084944328,38.4087618838718,"34",SS0043,Amfor, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Sutter Creek,Amador,"95685",CA, 
-120.934967320983,38.3421855105035,"35",SS0044,Clay, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Ione,Amador,"95640",CA, 
-120.957536684703,38.3738959409775,"36",SS0045,Ione, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Ione,Amador,"95640",CA, 
-120.913886496471,38.2771683372481,"37",SS0046,Ione Energy, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Ione,Amador,"95640",CA, 
-120.796740985463,38.3691028786508,"38",SS0047,Martell, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Jackson,Amador,"95642",CA, 
-120.805467310144,38.3686306321612,"39",SS0048,Nepco, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Sutter Creek,Amador,"95685",CA, 
-120.844930576776,38.4807591345361,"40",SS0049,Oleta, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Plymouth,Amador,"95669",CA, 
-120.218407207799,38.4984147265564,"41",SS0050,Salt Springs, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Pioneer,Amador,"95666",CA, 
-120.660220924914,38.4127925744882,"42",SS0051,Pine Grove, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Pine Grove,Amador,"95665",CA, 
-121.477514625081,37.7129604669531,"43",SS0052,Lammers,SCHULTE SW,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Tracy,San Joaquin,"95377",CA, 
-121.565472114126,39.4812211846539,"44",SS0055,A.P.T. Oro, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Oroville,Butte,"95965",CA, 
-121.685601924806,39.3647080354806,"45",SS0056,Gridley,CITY OF GRIDLEY,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Gridley,Butte,"95948",CA, 
-121.574768470498,39.4743726690606,"46",SS0057,Louisiana Pacific (Oroville), ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Oroville,Butte,"95965",CA, 
-121.688613342004,39.4087474684938,"47",SS0058,City Of Biggs,BIGGS,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Biggs,Butte,"95917",CA, 
-120.437267598561,34.643264997492,"48",SS0059,Cabrillo, ,Operational,PG&E,PG&E,L, ,,,YES,,,,110kV to 161kV,Lompoc,Santa Barbara,"93436",CA, 
-121.9196131769,39.8109485946487,"49",SS0063,Anita, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Chico,Butte,"95973",CA, 
-121.403162440444,39.3876685844065,"50",SS0064,Bangor, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Bangor,Butte,"95914",CA, 
-121.491504581471,39.6773494713832,"51",SS0065,Big Bend, ,Operational,PG&E,PG&E,U, ,,,YES,YES,,,220kV to 287kV,Oroville,Butte,"95965",CA, 
-121.813343710838,39.7122013009202,"52",SS0066,Butte, ,Operational,PG&E,PG&E,U, ,,YES,YES,,,,110kV to 161kV,Chico,Butte,"95928",CA, 
-121.820907255796,39.7188350122962,"53",SS0068,Chico A, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Chico,Butte,"95928",CA, 
-121.847062435271,39.7255097882049,"54",SS0069,Chico B, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Chico,Butte,"95928",CA, 
-116.367393860727,33.8177410844963,"55",SS0071,Ramon, ,Operational,IID,IID,L, ,,,,YES,,,220kV to 287kV,Thousand Palms,Riverside,"92276",CA, 
-121.768320239097,39.6077303727128,"56",SS0075,Esquon, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Durham,Butte,"95938",CA, 
-122.011355935013,39.7464134080744,"57",SS0077,Hamilton A, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Hamilton City,Glenn,"95951",CA, 
-121.595314404014,39.3205751401201,"58",SS0078,Honcut, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Oroville,Butte,"95965",CA, 
-121.305565037071,39.5751813000782,"59",SS0079,Kanaka, ,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Oroville,Butte,"95966",CA, 
-121.907035255463,39.7602356595384,"60",SS0081,Nord, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Chico,Butte,"95973",CA, 
-121.610771704936,39.8715573556335,"61",SS0082,Oro Fino, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Magalia,Butte,"95954",CA, 
-121.560141718015,39.5039927986081,"62",SS0083,Oroville, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Oroville,Butte,"95965",CA, 
-121.517648258085,39.4543379022737,"63",SS0084,Palermo, ,Operational,PG&E,PG&E,U, ,,,YES,YES,,,220kV to 287kV,Oroville,Butte,"95966",CA, 
-121.618717093031,39.7606577867977,"64",SS0085,Paradise, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Paradise,Butte,"95969",CA, 
-121.685081216852,39.3782365915686,"65",SS0086,Peachton, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Gridley,Butte,"95948",CA, 
-121.824015013594,39.7687559105853,"66",SS0088,Sycamore Creek, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Chico,Butte,"95973",CA, 
-121.644774044514,39.5552754155012,"67",SS0089,Table Mt., ,Operational,PG&E,PG&E,U, ,,YES,YES,YES,YES,,345kV to 500kV,Oroville,Butte,"95965",CA, 
-121.688010890273,39.4867594001966,"68",SS0091,Tres Vias, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Oroville,Butte,"95965",CA, 
-121.540933390964,39.4916951050329,"69",SS0092,Wyandotte, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Oroville,Butte,"95966",CA, 
-120.66721475617,38.1698918171388,"70",SS0094,Cataract (Calaveras Cement Co.),CALAVERAS CEMENT,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,San Andreas,Calaveras,"95249",CA, 
-120.422120535915,38.0698117597794,"71",SS0095,Cataract, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Columbia,Tuolumne,"95310",CA, 
-120.926162842113,38.101475571949,"72",SS0096,Corral, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Linden,Calaveras,"95236",CA, 
-120.533958093382,38.0571476937291,"73",SS0097,Frogtown, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Angels Camp,Calaveras,"95222",CA, 
-120.536208217405,37.944641501405,"74",SS0098,Melones, ,Operational,WAPA,WAPA,M,NML,,,,YES,,,220kV to 287kV,Angels Camp,Calaveras,"95222",CA, 
-120.446406490077,38.146981951631,"75",SS0101,Murphy, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Murphys,Calaveras,"95247",CA, 
-120.719334996871,38.1997418846336,"76",SS0102,North Branch, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Valley Springs,Calaveras,"95252",CA, 
-120.76399746343,38.2165799540101,"77",SS0103,Valley Springs, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Valley Springs,Calaveras,"95252",CA, 
-122.061381511822,39.0174746071364,"78",SS0104,Arbuckle, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Arbuckle,Colusa,"95912",CA, 
-122.002536992902,39.2135295810303,"79",SS0105,Colusa, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Colusa,Colusa,"95932",CA, 
-122.223321561126,39.1205396677922,"80",SS0106,Cortina, ,Operational,PG&E,PG&E,U, ,,YES,YES,,,,110kV to 161kV,Williams,Colusa,"95987",CA, 
-122.043318866675,38.96981769588,"81",SS0107,Drake, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Arbuckle,Colusa,"95912",CA, 
-122.070455072586,38.9692188946168,"82",SS0108,Harrington, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Arbuckle,Colusa,"95912",CA, 
-122.153275513926,39.2769548774054,"83",SS0109,Maxwell, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Maxwell,Colusa,"95955",CA, 
-122.013251339081,39.4027420699235,"84",SS0110,Rice, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Princeton,Colusa,"95970",CA, 
-122.147698710172,39.1574825769797,"85",SS0111,Williams, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Williams,Colusa,"95987",CA, 
-117.527034378934,34.0891651626442,"86",SS0112,Etiwanda, ,Operational,SCE,SCE,L, ,,YES,,YES,,,220kV to 287kV,Rancho Cucamonga,San Bernardino,"91739",CA,Same site as g0201
-118.100235269098,33.7713277156867,"87",SS0113,Stadium, ,Operational,SCE,SCE,L, ,,YES,,YES,,,220kV to 287kV,Long Beach,Los Angeles,"90803",CA, 
-122.130102374301,37.9939182385497,"88",SS0116,Alhambra, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Martinez,Contra Costa,"94553",CA, 
-121.587132600898,37.8169843464008,"89",SS0117,Byron Bethany, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Byron,Contra Costa,"94514",CA, 
-121.748757880082,38.011324976752,"90",SS0118,Du Pont, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Oakley,Contra Costa,"94561",CA, 
-121.576914623521,37.8869887554643,"91",SS0120,Los Vaqueros,"BIXLER, EBMUD PUMPING PLANT",Operational,Other,Other,M,LVQ,,YES,,,,,33kV to 92kV,Discovery Bay,Contra Costa,"94505",CA, 
-121.781117694689,38.0118259701031,"92",SS0121,GWF 3 (Antioch), ,Operational,Other,Other,M, ,,,,YES,,,220kV to 287kV,Antioch,Contra Costa,"94509",CA, 
-121.756256482373,38.0104946341984,"93",SS0122,GWF 4 (Antioch), ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Antioch,Contra Costa,"94509",CA, 
-121.849614769587,38.0263936582434,"94",SS0123,Linde, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Pittsburg,Contra Costa,"94565",CA, 
-122.115793292069,38.0141950918092,"95",SS0125,Shell Oil 1, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Martinez,Contra Costa,"94553",CA, 
-122.23540444521,38.0189989543758,"96",SS0127,Union Chemical (Union Oil), ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Rodeo,Contra Costa,"94572",CA, 
-122.071371159486,37.9259511737523,"97",SS0128,Walnut Creek Pp,YGANCIO,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Walnut Creek,Contra Costa,"94597",CA, 
-121.622893282709,37.8386976014926,"98",SS0129,Tres Vaqueros Wind Farm (Jv Ent), ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Byron,Contra Costa,"94514",CA, 
-121.67826286473,37.9258329947941,"99",SS0131,Balfour, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Brentwood,Contra Costa,"94513",CA, 
-122.042665629073,38.0125863127673,"100",SS0132,Bollman, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Concord,Contra Costa,"94520",CA, 
-121.676750082927,37.9190524238985,"101",SS0133,Brentwood, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Brentwood,Contra Costa,"94513",CA, 
-121.814433397119,37.8852467259499,"102",SS0134,Briones, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Clayton,Contra Costa,"94517",CA, 
-122.208354786022,38.0028570398414,"103",SS0135,Christie, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Martinez,Contra Costa,"94553",CA, 
-121.96909398175,37.9440952611113,"104",SS0136,Clayton, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Concord,Contra Costa,"94521",CA, 
-121.863298059038,38.0259792819438,"105",SS0137,Columbia Steel,USP,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Pittsburg,Contra Costa,"94565",CA, 
-121.815538842449,38.0135130092454,"106",SS0138,Antioch, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Antioch,Contra Costa,"94509",CA, 
-121.78280995281,37.999549668895,"107",SS0139,Contra Costa, ,Operational,PG&E,PG&E,M, ,,YES,YES,YES,,,220kV to 287kV,Antioch,Contra Costa,"94509",CA, 
-121.854366519844,38.0272822457123,"108",SS0140,Dow Chemical Co., ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Pittsburg,Contra Costa,"94565",CA, 
-122.187032675892,37.8759502348447,"109",SS0142,East Portal, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Orinda,Contra Costa,"94563",CA, 
-122.30220898854,37.9162472780247,"110",SS0143,El Cerrito Sta. G, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,El Cerrito,Contra Costa,"94530",CA, 
-121.773905474761,38.0159913255784,"111",SS0144,Fibreboard, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Antioch,Contra Costa,"94509",CA, 
-122.264316765269,38.0121020269008,"112",SS0145,Franklin, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Hercules,Contra Costa,"94547",CA, 
-121.586152326793,37.8167154557303,"113",SS0146,Herdlyn, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Byron,Contra Costa,"94514",CA, 
-122.067242498362,38.0016315784732,"114",SS0147,Imhoff, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Martinez,Contra Costa,"94553",CA, 
-121.905941827386,38.0207839889845,"115",SS0148,Kirker, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Pittsburg,Contra Costa,"94565",CA, 
-122.057321680402,37.9084051473115,"116",SS0149,Lakewood, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Walnut Creek,Contra Costa,"94597",CA, 
-121.722682625124,37.9028604087048,"117",SS0150,Marsh, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Brentwood,Contra Costa,"94513",CA, 
-122.05223994325,37.9632382692534,"118",SS0151,Meadow Lane, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Concord,Contra Costa,"94520",CA, 
-122.160818670498,37.8477589597212,"119",SS0152,Moraga, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Orinda,Contra Costa,"94563",CA, 
-121.896782836073,38.0368169925384,"120",SS0153,Pittsburg, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Pittsburg,Contra Costa,"94565",CA, 
-122.348089908979,37.9959166153114,"121",SS0154,Point Pinole, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Pablo,Contra Costa,"94806",CA, 
-122.17808278026,38.0373210210743,"122",SS0155,Port Costa Brick, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Port Costa,Contra Costa,"94569",CA, 
-121.866945604532,38.0259506580799,"123",SS0156,Posco, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Pittsburg,Contra Costa,"94565",CA, 
-122.080310100819,37.8646492396266,"124",SS0158,Rossmoor, ,Operational,PG&E,PG&E,M, ,,,,YES,,,220kV to 287kV,Lafayette,Contra Costa,"94549",CA, 
-121.967649283339,37.7824109812771,"125",SS0159,San Ramon Research Cntr., ,Operational,PG&E,PG&E,M, ,,,,YES,,,220kV to 287kV,Danville,Contra Costa,"94526",CA, 
-122.336812034927,37.9852914395377,"126",SS0160,San Pablo, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,San Pablo,Contra Costa,"94806",CA, 
-121.935896665226,37.7447207757459,"127",SS0161,San Ramon, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,San Ramon,Contra Costa,"94583",CA, 
-122.208081870183,37.9054530776353,"128",SS0162,Sobrante, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Orinda,Contra Costa,"94563",CA, 
-121.268618250174,39.2351235180816,"129",SS0163,Narrows, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Smartville,Nevada,"95977",CA, 
-122.06184384344,38.0196392135542,"130",SS0164,Tidewater, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Martinez,Contra Costa,"94553",CA, 
-122.234518965764,38.0534028301151,"131",SS0165,Unocal, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Crockett,Contra Costa,"94525",CA, 
-122.103087790835,38.0289500158168,"132",SS0166,Urich, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Martinez,Contra Costa,"94553",CA, 
-122.278611000586,37.9661290147615,"133",SS0167,Valley View, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,El Sobrante,Contra Costa,"94803",CA, 
-121.960960121007,38.0247653218812,"134",SS0168,Willow Pass, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Pittsburg,Contra Costa,"94565",CA, 
-124.207878116085,41.7730555647389,"135",SS0169,Belmont, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Crescent City,Del Norte,"95531",CA, 
-124.139058533179,41.8676567092931,"136",SS0170,Del Norte, ,Operational,PCORP,PCORP,U, ,,YES,YES,,,,110kV to 161kV,Crescent City,Del Norte,"95531",CA, 
-123.966737288061,41.8482508293955,"137",SS0171,Gasquet, ,Operational,PCORP,PCORP,U, ,,,YES,,,,110kV to 161kV,Gasquet,Del Norte,"95543",CA, 
-124.147972130776,41.8517917510968,"138",SS0172,Lake Earl, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Crescent City,Del Norte,"95531",CA, 
-124.097410866396,41.7328952149219,"139",SS0173,Miller Redwood, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Klamath,Del Norte,"95548",CA, 
-124.199166500758,41.7660565380858,"140",SS0174,Northcrest, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Crescent City,Del Norte,"95531",CA, 
-123.864652498842,41.8813957421782,"141",SS0175,Patrick'S Creek, ,Operational,PCORP,PCORP,U, ,,,YES,,,,110kV to 161kV,Gasquet,Del Norte,"95543",CA, 
-124.163458559084,41.7608079471538,"142",SS0176,Redwood, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Crescent City,Del Norte,"95531",CA, 
-124.139409832088,41.9251408477394,"143",SS0177,Simonson, ,Closed,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Smith River,Del Norte,"95567",CA, 
-124.140561331629,41.8854105694673,"144",SS0178,Smith River, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Smith River,Del Norte,"95567",CA, 
-123.035065232583,41.7744236383007,"145",SS0179,Steelhead, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Somes Bar,Siskiyou,"95568",CA, 
-124.05042093917,41.5433626946866,"146",SS0180,Yurok, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Klamath,Del Norte,"95548",CA, 
-119.98583975858,38.8772356688865,"147",SS0181,Meyers, ,Operational,Other,Other,M, ,,YES,YES,,,,110kV to 161kV,South Lake Tahoe,El Dorado,"96150",CA, 
-119.943240328173,38.9318360839128,"148",SS0182,Stateline, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,South Lake Tahoe,El Dorado,"96150",CA, 
-120.677152032442,38.7396778122755,"149",SS0183,Apple Hill, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Camino,El Dorado,"95709",CA, 
-117.238641795308,34.0796024099275,"150",SS0184,San Bernardino, ,Operational,SCE,SCE,L, ,,YES,YES,YES,,,220kV to 287kV,San Bernardino,San Bernardino,"92408",CA,Same site as g0523
-120.825881726557,38.6934071462579,"151",SS0185,Diamond Springs, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Placerville,El Dorado,"95667",CA, 
-120.621908400584,38.7956002642144,"152",SS0186,El Dorado, ,Closed,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Pollock Pines,El Dorado,"95726",CA,Closed with el dorado hydro. h0167
-121.067128481999,38.8849152689568,"153",SS0187,Flint, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Auburn,Placer,"95603",CA, 
-120.980169690467,38.6349277779389,"154",SS0188,Limestone, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Shingle Springs,El Dorado,"95682",CA, 
-121.018969063752,38.914060823064,"155",SS0189,Mt. Quarries, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Cool,El Dorado,"95614",CA, 
-121.094807856421,38.8348538620674,"156",SS0190,Newcastle, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Newcastle,Placer,"95658",CA, 
-120.783825529571,38.7308934958542,"157",SS0191,Placerville, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Placerville,El Dorado,"95667",CA, 
