X,Y,OBJECTID,Substation_ID,Substation_Name,Alias,Status,Owner,Map_Owner,Map_Part,Engineering_ID,kV_12_TO_32,kV_33_TO_92,kV_110_TO_161,kV_220_To_287,kV_345_To_500,kV_500_DC,Highest_kV,Postal_City,County,Zip_Code,State,Comments
-120.199343014402,34.4760229871924,"1598",SS1888,Gaviota, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Goleta,Santa Barbara,"93117",CA, 
-119.884358814147,34.4687685802981,"1599",SS1889,Goleta, ,Operational,SCE,SCE,L, ,,YES,,YES,,,220kV to 287kV,Goleta,Santa Barbara,"93117",CA, 
-119.871319965717,34.4330167706486,"1600",SS1890,Isla Vista, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Goleta,Santa Barbara,"93117",CA, 
-119.586723747507,34.4183785333317,"1601",SS1891,Ortega, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Carpinteria,Santa Barbara,"93013",CA, 
-119.761385699714,34.4519630443927,"1602",SS1892,San Marcos, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Santa Barbara,Santa Barbara,"93110",CA, 
-119.685586274925,34.423309961457,"1603",SS1893,Santa Barbara, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Santa Barbara,Santa Barbara,"93103",CA, 
-119.815856961203,34.4491812803795,"1604",SS1895,Vegas, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Santa Barbara,Santa Barbara,"93111",CA, 
-122.009502884376,37.3856360464551,"1605",SS1896,Advanced Micro Devices,AMD,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Sunnyvale,Santa Clara,"94085",CA, 
-122.016352775877,37.374557252779,"1606",SS1897,Britton, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Sunnyvale,Santa Clara,"94086",CA, 
-121.637479812663,37.1581706262823,"1607",SS1898,Coyote Pumping, ,Operational,Other,Other,M,COY,,,YES,,,,110kV to 161kV,Morgan Hill,Santa Clara,"95037",CA, 
-121.939806098137,37.3561871871704,"1608",SS1899,Brokaw, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Santa Clara,Santa Clara,"95050",CA, 
-121.921898142745,37.3473462817226,"1609",SS1900,Fmc, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95110",CA, 
-122.073136889236,37.3239100667719,"1610",SS1904,Monta Vista, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Cupertino,Santa Clara,"95014",CA, 
-122.093308365205,37.3179115261344,"1611",SS1905,Permanente, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Cupertino,Santa Clara,"95014",CA, 
-122.012965149549,37.3849292796074,"1612",SS1906,Signetics, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Sunnyvale,Santa Clara,"94085",CA, 
-122.022139713626,37.3799950710155,"1613",SS1907,Westinghouse,NORTHRUP GRUMMAN,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Sunnyvale,Santa Clara,"94086",CA, 
-121.941942873641,37.4327310550106,"1614",SS1908,Wpcp,ZANKER ROAD,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95134",CA, 
