Resource ID,Local Area,Matched Zone,Generator Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Dispatchable,Path Designation,Deliverability Status,Deliverability MW,Internal Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVDL_1_SOLAR,NCNB,NP15,Cloverdale Solar I,0.1,0.1,0.1,0.1,0.1,0.57,0.9,0.3,0.6,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVER_2_UNIT,CAISO System,NP15,Clover Creek,0.52,0.43,0.43,0.42,0.49,0.39,0.19,0.1,0.06,0.08,0.25,0.47,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLRMNT_6_CLEBT1,San Diego-IV,SP15,Clairemont Energy Storage,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLRMTK_1_QF,Bay Area,NP15,SMALL QF AGGREGATION - OAKLAND,0,0,0.01,0,0,0,0,0,0,0,0,0,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBLND_2_DS2BT1,CAISO System,SP15,Daggett 2 a BESS,52,52,52,52,52,52,52,52,52,52,52,52,Y,South,ID,100%,Q1313 - Group name: DAGGETT_SOLAR2_1313_1 - Max to grid 65 MW. Waiting for Mojave RAS. Co-located with CMBLND_2_DS2SR1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBLND_2_DS2BT2,CAISO System,SP15,Daggett 2 b BESS,33,33,33,33,33,33,33,33,33,33,33,33,Y,South,ID,100%,Q1313 - Group name: DAGGETT_SOLAR2_1313_2 - Max to grid 65 MW. Waiting for Mojave RAS. Co-located with CMBLND_2_DS2SR2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBLND_2_DS2BT3,CAISO System,SP15,Daggett 2 c BESS,46,46,46,46,46,46,46,46,46,46,46,46,Y,South,ID,100%,Q1313 - Group name: DAGGETT_SOLAR2_1313_3 - Max to grid 52 MW. Waiting for Mojave RAS. Co-located with CMBLND_2_DS2SR3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBLND_2_DS2SR1,CAISO System,SP15,Daggett 2 a PV,0.1,0.1,0.1,0.31,2.09,13,13,13,13,0.11,0.1,0.1,N,South,ID,13.00,Q1313 - Group name: DAGGETT_SOLAR2_1313_1 - Max to grid 65 MW. Waiting for Mojave RAS. Max 13 MW NQC. Co-located with CMBLND_2_DS2BT1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBLND_2_DS2SR2,CAISO System,SP15,Daggett 2 b PV,0.1,0.1,0.1,0.31,2.09,27.64,32,13.19,25.32,0.11,0.1,0.1,N,South,ID,32.00,Q1313 - Group name: DAGGETT_SOLAR2_1313_2 - Max to grid 65 MW. Waiting for Mojave RAS. Max 32 MW NQC. Co-located with CMBLND_2_DS2BT2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBLND_2_DS2SR3,CAISO System,SP15,Daggett 2 c PV,0.1,0.1,0.1,0.25,1.67,6,6,6,6,0.1,0.1,0.1,N,South,ID,6.00,Q1313 - Group name: DAGGETT_SOLAR2_1313_3 - Max to grid 52 MW. Waiting for Mojave RAS. Max 6 MWs NQC. Co-located with CMBLND_2_DS2BT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNTNLA_2_SOLAR1,San Diego-IV,SP15,Centinela Solar Energy I ,0.1,0.1,0.1,0.37,1.9,31.63,62.07,15.33,33.44,0.19,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNTNLA_2_SOLAR2,San Diego-IV,SP15,Centinels Solar Energy 2,0.1,0.1,0.1,0.13,0.69,11.54,22.64,5.59,12.2,0.1,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCOPP_2_CTG1,Bay Area,NP15,Marsh Landing 1,203.08,202.82,202.21,199.04,197.87,194.63,193.62,193.09,194.72,198.97,200.43,203.72,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCOPP_2_CTG2,Bay Area,NP15,Marsh Landing 2,202.25,201.68,201.36,198.21,197.04,193.81,192.86,192.32,193.95,198.13,199.65,202.7,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCOPP_2_CTG3,Bay Area,NP15,Marsh Landing 3,201.79,201.31,200.92,197.81,196.72,193.1,192.03,191.57,193.18,197.81,199.11,202.45,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCOPP_2_CTG4,Bay Area,NP15,Marsh Landing 4,203.72,203.2,202.81,199.67,198.47,194.44,193.36,192.89,194.53,199.67,200.98,204.2,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCOSB_6_SOLAR,Bay Area,NP15,Oakley Solar Project,0,0,0,0,0,0,0,0,0,0,0,0,N,North,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COGNAT_1_UNIT,CAISO System,NP15,Stockton Biomas,43.02,44.73,43.32,29.91,44.25,45,45,45,45,44.91,45,44.85,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLEMN_2_UNIT,CAISO System,NP15,Coleman,3.37,4.92,5.03,4.08,4.36,3.82,3.09,0.55,1.69,1.9,2.19,3.51,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLGAT_7_UNIT 1,Sierra,NP15,Colgate Powerhouse Unit 1,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLGAT_7_UNIT 2,Sierra,NP15,Colgate Powerhouse Unit 2,175.67,175.67,175.67,175.67,175.67,175.67,175.67,175.67,175.67,175.67,175.67,175.67,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPIN_6_COLLNS,CAISO System,NP15,Collins Pine,0,0,0,0,0,0,0,0,0,0,0,0,N,North,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLTON_6_AGUAM1,LA Basin,SP15,AGUA MANSA UNIT 1 (CITY OF COLTON),43,43,43,43,43,43,43,43,43,43,43,43,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUSA_2_PL1X3,CAISO System,NP15,Colusa Generating Station,626,627,633,629,617,610,608,605,610,618,624,627,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLVIL_7_PL1X2,CAISO System,NP15,COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDOR_2_CDRBT1,LA Basin,SP15,Condor BESS,200,200,200,200,200,200,200,200,200,200,200,200,Y,South,FC,,Former - SCEWDT1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_CASAD1,CAISO System,SP15,Mammoth G1,6.87,7.2,6.98,6.92,6.77,5.91,4.96,5.39,5.41,5.51,6.94,6.8,N,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_CASAD2,CAISO System,Unclassified,Mammoth G2,10.11,9.97,9.45,8.35,8.63,8.23,9.41,9.28,9.17,9.16,9.99,10.2,Y,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_CASAD3,CAISO System,SP15,Mammoth G3,13.05,13.12,13.09,12.42,11.57,9.91,8.7,9.42,9.94,10.79,13.11,13.51,N,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_LUNDY,CAISO System,Unclassified,LUNDY,0.32,0.36,0.34,0.51,1.16,1.91,1.69,0.89,0.83,0.53,0.87,0.39,N,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_OXBOW,CAISO System,SP15,Dixie Valley Geo,59.31,57.37,54.76,40.69,43.99,50.33,53.29,53.4,54.54,46.14,58.86,58.51,N,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_POOLE,CAISO System,Unclassified,POOLE HYDRO PLANT 1,1.72,0.8,0.5,1.64,1.6,8.27,5.42,1.46,10.9,0.48,0.6,0.8,Y,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_QF,CAISO System,SP15,CONTROL QFS,0.24,0.25,0.31,0.42,0.3,0.28,0.24,0.17,0.27,0.25,0.22,0.2,N,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRL_1_RUSHCK,CAISO System,Unclassified,RUSH CREEK,0.8,0.82,4.82,0.82,9.54,9.54,8.82,1.82,11.94,1.01,0.97,0.82,Y,South,FC,,Behind the South of Control de-rate ¿ limited to 175 MWs and not binding at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPMT2_2_SOLAR2,CAISO System,SP15,CMS2,0.1,0.1,0.1,0.45,2.35,39.22,76.96,19.01,41.47,0.24,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPMT4_2_SOLAR4,CAISO System,SP15,Copper Mountain Solar 4,0.1,0.1,0.1,0.27,1.4,23.28,45.68,11.28,24.61,0.14,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPMTN_2_CM10,CAISO System,SP15,Copper Mountain 10,0.1,0.1,0.1,0.1,0.15,2.53,4.97,1.23,2.68,0.1,0.1,0.1,N,South,PD,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPMTN_2_SOLAR1,CAISO System,SP15,Copper Mountain 48,0.1,0.1,0.1,0.14,0.73,12.15,16.5,5.89,12.84,0.1,0.1,0.1,N,South,PD,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORCAN_1_SOLAR1,Fresno,NP15,CID Solar,0.1,0.1,0.1,0.27,1.05,7.66,11.98,4.02,8.01,0.13,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORCAN_1_SOLAR2,Fresno,NP15,Corcoran City,0.1,0.1,0.1,0.15,0.77,6.24,8.03,2.94,5.23,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONS_2_SOLAR,LA Basin,SP15,Master Development Corona,0,0,0,0,0,0,0,0,0,0,0,0,N,South,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONS_6_CLRWTR,LA Basin,SP15,Clearwater Power Plant,28,28,28,28,28,28,28,28,28,28,28,28,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRAL_6_SJOAQN,CAISO System,NP15,Ameresco San Joaquin,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTTLE_2_FRNKNH,CAISO System,NP15,Frankenheimer Power Plant,0,0,0.06,0,0,0,0,0.96,1.27,0.2,0,0,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVERD_2_HCKHY1,CAISO System,NP15,HATCHET CREEK,2.43,1.49,2.32,3.51,2.44,0.89,0.02,0,0,0.14,0.09,0.45,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVERD_2_MCKHY1,CAISO System,NP15,Montgomery Creek Hydro,1.31,0.93,1.24,1.41,0.84,0.32,0.04,0,0,0.08,0,0.62,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVERD_2_QFUNTS,CAISO System,NP15,Cove Hydroelectric Project,1.52,1.6,1.66,3.3,3.3,0.8,0,0,0,1.2,0.4,1.2,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVERD_2_RCKHY1,CAISO System,NP15,ROARING CREEK,1.22,1.09,0.54,0.8,0.5,0.32,0.08,0,0,0.04,0.09,0.27,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COWCRK_2_UNIT,CAISO System,NP15,Cow Creek Hydro,0.75,0.92,0.6,0.66,0.37,0.2,0.1,0.07,0.08,0.17,0.46,0.61,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPVERD_2_SOLAR,San Diego-IV,SP15,Campo Verde Solar,0.1,0.1,0.1,0.41,2.11,35.17,69.02,17.05,37.19,0.22,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRELMN_6_RAMON1,San Diego-IV,SP15,Ramona 1,0.1,0.1,0.1,0.1,0.1,0.51,0.99,0.25,0.54,0.1,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRELMN_6_RAMON2,San Diego-IV,SP15,Ramona 2,0.1,0.1,0.1,0.1,0.1,1.27,2.48,0.61,1.34,0.1,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRELMN_6_RAMSR3,San Diego-IV,SP15,Ramona Solar Energy,0.08,0.08,0.08,0.08,0.11,1.47,2.32,0.7,1.34,0.08,0.08,0.08,N,South,PD,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESSY_1_PARKER,Fresno,NP15,PARKER POWERHOUSE,0,0,0.01,0.33,0.79,0.91,0.91,0.59,0.29,0.22,0,0,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESTA_7_PL1X2,Sierra,NP15,CRESTA PH UNIT 1 & 2 AGGREGATE,34.96,22.8,50.32,44,35.93,32.63,38.61,51.78,46.4,34.36,23.8,24,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMSN_2_CRMBT1,CAISO System,SP15,Crimson,200,200,200,200,200,200,200,200,200,200,200,200,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMSN_2_CRMBT2,CAISO System,SP15,Crimson 2,150,150,150,150,150,150,150,150,150,150,150,150,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRNEVL_6_CRNVA,Fresno,NP15,Crane Valley ,0.19,0.06,0.11,0.07,0.23,0.25,0.07,0,0.23,0.34,0.29,0.14,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRNEVL_6_SJQN 2,Fresno,NP15,SAN JOAQUIN 2,0.05,0.1,0,0,0,0,0,0,0.01,0,0.28,0.35,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROKET_7_UNIT,Bay Area,NP15,CROCKETT COGEN,220.56,205.23,137.46,217.83,216.47,227.92,223.11,224.87,214.14,208.32,203.61,208.89,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRSTWD_6_KUMYAY,San Diego-IV,SP15,Kumeyaay Wind Farm,4.2,10.14,11.36,18.29,20.63,18.79,18.72,17.29,10.62,5.69,3.3,3.23,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRWCKS_1_SOLAR1,Stockton,NP15,Crow Creek Solar 1,0,0,0,0,0,0,0,0,0,0,0,0,N,North,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCGNR_1_UNIT 1,Bay Area,NP15,GIANERA PEAKER UNIT 1,24,24,24,24,24,24,24,24,24,24,24,24,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCGNR_1_UNIT 2,Bay Area,NP15,GIANERA PEAKER UNIT 2,24,24,24,24,24,24,24,24,24,24,24,24,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSLR4S_2_SOLAR,San Diego-IV,SP15,Csolar IV South,0.1,0.1,0.1,0.38,1.97,32.89,64.55,15.94,34.78,0.2,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTRVL_7_PL1X2,CAISO System,NP15,Marina Land Fill Gas,4.13,3.51,3.69,4.01,3.63,3.95,4.16,4.14,4.17,3.86,3.98,3.73,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTRVL_7_QFUNTS,CAISO System,NP15,Castroville QF Aggregate,0.05,0.05,0.11,0.03,0.02,0.05,0.05,0.07,0.09,0.11,0.06,0.06,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTNWDP_1_QF,CAISO System,NP15,SMALL QF AGGREGATION - BURNEY,0.04,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.03,0.04,0.04,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBIA_1_SOLAR,Bay Area,NP15,Columbia Solar Energy II,0.1,0.1,0.1,0.26,1.34,10.77,13.86,5.08,9.03,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMNG_6_SUNCT1,CAISO System,SP15,SunSelect 1,3.33,3.39,3.04,3.01,3.34,3.54,3.53,3.56,3.4,3.16,3.38,3.45,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURTIS_1_CANLCK,Fresno,NP15,Canal Creek Powerhouse,0,0,0,0,0,0,0,0,0,0,0,0,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURTIS_1_FARFLD,Fresno,NP15,Fairfield Powerhouse,0,0,0,0,0.06,0.14,0.04,0.11,0.04,0,0,0,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUYAMA_6_SB3SB1,CAISO System,ZP26,SEPV Barbara 3,3,3,3,3,3,3,3,3,3,3,3,3,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUYAMS_6_CUYSR1,CAISO System,ZP26,Cuyama Solar,0.1,0.1,0.1,0.54,2.81,22.68,29.19,10.69,19.01,0.15,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
