Resource ID,Local Area,Matched Zone,Generator Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Dispatchable,Path Designation,Deliverability Status,Deliverability MW,Internal Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLGNY_6_HYDRO1,Sierra,NP15,Salmon Creek Hydroelectric Project,0.22,0.29,0.32,0.49,0.47,0.08,0.14,0.03,0.01,0.03,0.14,0.14,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMASL_2_AL6BT6,CAISO System,SP15,Almasol 6 BES,50,50,50,50,50,50,50,50,50,50,50,50,Y,South,FC,,"Group name: ALMASOL_365 - Max to grid 500 MW, Co-located with ALMASL_2_GS6SR6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMASL_2_GS1SR1,CAISO System,SP15,Almasol Generating Station 1,0.1,0.1,0.1,0.6,4.02,53.15,84.12,25.37,48.69,0.22,0.1,0.1,N,South,FC,,Group name: ALMASOL_365 - Max to grid 500 MW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMASL_2_GS4SR4,CAISO System,SP15,Almasol Generating Station 4,0.1,0.1,0.1,0.48,3.22,42.52,67.29,20.3,38.96,0.18,0.1,0.1,N,South,FC,,Group name: ALMASOL_365 - Max to grid 500 MW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMASL_2_GS6SR6,CAISO System,SP15,Almasol Generating Station 6,0.1,0.1,0.1,0.48,3.22,42.52,67.29,20.3,38.96,0.18,0.1,0.1,N,South,FC,,"Group name: ALMASOL_365 - Max to grid 500 MW, Co-located with ALMASL_2_AL6BT6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMASL_2_GS7SR7,CAISO System,SP15,Almasol Generating Station 7,0.1,0.1,0.1,0.63,4.25,56.13,88.83,26.79,51.42,0.23,0.1,0.1,N,South,FC,,Group name: ALMASOL_365 - Max to grid 500 MW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMEGT_1_UNIT 1,Bay Area,NP15,ALAMEDA GT UNIT 1,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMEGT_1_UNIT 2,Bay Area,NP15,ALAMEDA GT UNIT 2,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPAUG_1_TUDSR1,CAISO System,ZP26,Tulare DAC Solar,,,,,,0,0,0,0,0,0,0,N,North,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPSLR_1_NTHSLR,CAISO System,ZP26,"Alpaugh North, LLC",0.1,0.1,0.1,0.27,1.05,7.66,11.98,4.02,8.01,0.13,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
